booking_id,booking_date,booking_hour,city,vehicle_type,ride_distance_km,fare_amount,payment_method,driver_id,driver_rating,customer_rating,ride_status,cancellation_reason
100071,2024-01-03,17,Chennai,Mini,2.83,289.43,Wallet,2162,3.2,3.8,Completed,
100072,2024-01-04,11,Delhi,Auto,10.22,115.37,UPI,3331,4.1,3.4,Completed,
100073,2024-01-04,1,Delhi,Sedan,12.49,614.07,Wallet,4243,3.0,3.4,Completed,
100074,2024-01-04,9,Pune,Mini,21.03,63.23,Cash,2555,4.3,4.6,Completed,
100075,2024-01-04,3,Bengaluru,Bike,2.11,640.88,Cash,2151,3.1,4.9,Completed,
100076,2024-01-04,13,Hyderabad,Auto,26.8,482.85,Cash,4457,2.5,3.7,Completed,
100077,2024-01-04,15,Chennai,Auto,20.11,611.58,Wallet,3664,3.8,4.7,Completed,
100078,2024-01-04,14,Hyderabad,Mini,8.98,637.34,Card,2568,3.2,4.5,Completed,
100079,2024-01-04,7,Mumbai,Sedan,20.09,143.29,Card,1675,4.1,3.7,Completed,
100080,2024-01-04,13,Bengaluru,Mini,16.57,66.04,Wallet,4465,4.4,4.2,Completed,
100081,2024-01-04,22,Delhi,Auto,10.75,176.57,Wallet,2979,4.5,2.7,Completed,
100082,2024-01-04,7,Bengaluru,Auto,1.83,338.05,Cash,2708,5.0,4.1,Completed,
100083,2024-01-04,20,Delhi,Auto,16.98,104.99,Wallet,2106,3.9,3.1,Completed,
100084,2024-01-04,15,Bengaluru,Sedan,3.38,392.55,Card,1825,3.7,4.8,Completed,
100085,2024-01-04,12,Delhi,Auto,24.5,263.82,Cash,4480,3.1,4.2,Cancelled,App Issue
100086,2024-01-04,17,Hyderabad,Auto,3.57,322.88,Wallet,3940,4.4,4.1,Completed,
100087,2024-01-04,14,Hyderabad,Mini,13.43,755.28,UPI,3394,3.7,4.8,Completed,
100088,2024-01-04,20,Hyderabad,Auto,13.6,593.2,Card,1546,3.3,4.4,Cancelled,Driver Unavailable
100089,2024-01-04,23,Hyderabad,Bike,17.13,543.62,Cash,2622,3.6,3.5,Completed,
100090,2024-01-04,12,Bengaluru,Mini,2.15,540.17,Cash,1234,3.4,4.5,Completed,
100091,2024-01-04,8,Delhi,Auto,6.91,466.54,Cash,1545,4.9,4.8,Cancelled,Customer Change of Mind
100092,2024-01-04,14,Hyderabad,Mini,6.79,434.74,Card,3183,3.1,4.9,Completed,
100093,2024-01-04,12,Bengaluru,Mini,18.37,711.61,UPI,3753,3.5,3.1,Completed,
100094,2024-01-04,0,Delhi,Bike,8.65,106.25,Wallet,4001,3.3,3.9,Completed,
100095,2024-01-04,6,Bengaluru,Mini,5.18,266.39,Card,3136,2.9,4.5,Cancelled,High Fare
100096,2024-01-05,8,Pune,Mini,1.53,128.1,Cash,1904,3.2,4.9,Completed,
100097,2024-01-05,23,Hyderabad,Sedan,25.38,58.29,Wallet,1216,3.7,2.7,Completed,
100098,2024-01-05,0,Mumbai,Auto,29.17,60.4,Card,1556,4.1,4.4,Completed,
100099,2024-01-05,11,Bengaluru,Sedan,21.39,68.01,UPI,2884,4.0,3.6,Completed,
100100,2024-01-05,7,Hyderabad,Auto,12.97,561.3,UPI,3837,4.4,4.6,Completed,
100101,2024-01-05,23,Chennai,Mini,4.54,133.55,Wallet,1246,2.7,4.4,Completed,
100102,2024-01-05,10,Delhi,Auto,14.78,201.81,Wallet,1507,3.3,3.6,Completed,
100103,2024-01-05,18,Pune,Mini,14.26,364.24,Card,1141,3.4,4.8,Completed,
100104,2024-01-05,16,Hyderabad,Auto,13.18,251.94,UPI,2203,4.2,3.4,Completed,
100105,2024-01-05,7,Chennai,Mini,11.97,662.52,Card,3671,3.0,3.5,Completed,
100106,2024-01-05,2,Bengaluru,Auto,15.41,517.59,Card,2258,3.0,4.4,Completed,
100107,2024-01-05,2,Bengaluru,Auto,3.12,299.98,Wallet,1559,2.7,3.2,Cancelled,Driver Delay
100108,2024-01-05,0,Chennai,Auto,2.11,288.34,UPI,4914,3.8,4.4,Completed,
100109,2024-01-05,4,Pune,Mini,2.85,562.77,Cash,2265,4.3,4.5,Completed,
100110,2024-01-05,9,Chennai,Auto,6.8,178.0,Card,2266,4.2,4.3,Completed,
100111,2024-01-05,6,Delhi,Mini,9.06,260.41,Cash,2714,4.4,3.4,Completed,
100112,2024-01-05,8,Bengaluru,Sedan,5.91,315.08,UPI,3700,2.9,3.7,Completed,
100113,2024-01-05,6,Chennai,Auto,8.31,390.98,Cash,2824,4.0,3.9,Cancelled,App Issue
100114,2024-01-05,8,Mumbai,Bike,6.39,192.9,Card,2922,2.7,2.8,Completed,
100115,2024-01-05,7,Mumbai,Bike,5.37,167.92,UPI,2262,4.9,3.4,Cancelled,App Issue
100116,2024-01-05,11,Chennai,Mini,9.5,792.47,Card,4251,2.8,2.9,Completed,
100117,2024-01-05,1,Delhi,Bike,12.53,734.9,UPI,2315,4.7,3.2,Completed,
100118,2024-01-05,0,Bengaluru,Mini,22.58,442.71,Card,4122,2.6,4.8,Completed,
100119,2024-01-05,15,Mumbai,Mini,28.71,624.16,Cash,1687,3.8,2.6,Cancelled,Driver Unavailable
100120,2024-01-06,22,Chennai,Bike,27.65,555.5,Card,2705,4.6,3.9,Completed,
100121,2024-01-06,22,Chennai,Bike,14.8,106.34,Cash,4487,4.1,3.6,Completed,
100122,2024-01-06,23,Hyderabad,Sedan,14.38,438.42,Card,1483,3.7,4.2,Completed,
100123,2024-01-06,4,Chennai,Mini,4.65,187.94,Card,4498,2.8,4.9,Completed,
100124,2024-01-06,2,Delhi,Bike,29.18,488.04,Card,2507,4.1,3.6,Completed,
100125,2024-01-06,11,Mumbai,Sedan,23.04,96.34,Card,3786,4.0,3.8,Cancelled,High Fare
100126,2024-01-06,7,Hyderabad,Sedan,25.58,172.18,Wallet,3052,3.6,2.8,Completed,
100127,2024-01-06,21,Mumbai,Mini,7.79,636.29,Card,1395,3.1,4.8,Completed,
100128,2024-01-06,2,Mumbai,Auto,12.63,682.44,Wallet,1466,3.1,3.5,Completed,
100129,2024-01-06,0,Delhi,Bike,3.98,730.6,UPI,1958,4.9,2.6,Completed,
100130,2024-01-06,2,Chennai,Bike,28.28,722.54,Cash,1231,4.9,3.8,Completed,
100131,2024-01-06,4,Delhi,Bike,9.29,730.27,Cash,2788,4.8,4.6,Completed,
100132,2024-01-06,14,Chennai,Bike,18.28,121.03,Wallet,2818,3.8,4.0,Completed,
100133,2024-01-06,13,Hyderabad,Bike,5.41,544.62,UPI,4234,5.0,4.0,Completed,
100134,2024-01-06,2,Delhi,Bike,24.28,575.79,Card,3431,3.2,2.6,Completed,
100135,2024-01-06,0,Delhi,Sedan,6.4,251.15,Cash,1585,3.6,4.9,Completed,
100136,2024-01-06,4,Pune,Mini,24.47,794.7,Wallet,2906,2.9,3.5,Completed,
100137,2024-01-06,22,Bengaluru,Sedan,12.65,264.37,UPI,3039,3.7,2.9,Completed,
100138,2024-01-06,13,Delhi,Bike,17.75,481.17,UPI,2563,3.0,2.9,Cancelled,Customer Change of Mind
100139,2024-01-06,6,Pune,Mini,8.82,704.27,Wallet,3400,2.7,4.2,Completed,
100140,2024-01-06,8,Bengaluru,Bike,26.6,266.89,UPI,2966,2.5,3.6,Completed,
100141,2024-01-06,14,Chennai,Mini,23.04,504.88,Cash,3990,3.4,2.6,Completed,
100142,2024-01-06,14,Chennai,Sedan,11.27,590.01,Wallet,2450,4.7,2.7,Completed,
100143,2024-01-06,9,Chennai,Mini,17.98,520.03,Wallet,3851,3.6,3.6,Cancelled,Driver Unavailable
100144,2024-01-07,12,Pune,Sedan,4.74,354.47,UPI,1098,4.1,4.5,Completed,
100145,2024-01-07,18,Pune,Bike,5.65,758.57,Wallet,4952,4.5,2.9,Completed,
100146,2024-01-07,6,Bengaluru,Mini,16.48,509.23,Wallet,1528,3.9,2.8,Cancelled,Driver Delay
100147,2024-01-07,16,Chennai,Auto,19.58,218.27,UPI,2910,3.9,3.7,Completed,
100148,2024-01-07,19,Mumbai,Auto,17.17,654.6,Wallet,2226,3.8,3.8,Completed,
100149,2024-01-07,3,Delhi,Sedan,17.22,541.91,Cash,2187,2.8,3.8,Completed,
100150,2024-01-07,4,Pune,Sedan,22.53,132.14,Wallet,1548,4.1,3.8,Completed,
100151,2024-01-07,22,Pune,Sedan,27.17,258.61,UPI,3193,4.3,4.7,Cancelled,Driver Unavailable
100152,2024-01-07,6,Pune,Sedan,12.24,168.6,Wallet,1286,2.5,3.5,Completed,
100153,2024-01-07,12,Bengaluru,Bike,16.57,104.5,Cash,3018,2.7,2.6,Completed,
100154,2024-01-07,14,Chennai,Auto,26.9,222.65,Card,1667,3.9,2.5,Completed,
100155,2024-01-07,10,Mumbai,Sedan,14.46,258.6,Cash,1064,4.6,3.5,Cancelled,Driver Unavailable
100156,2024-01-07,3,Delhi,Mini,13.91,399.89,Wallet,3206,3.8,4.7,Completed,
100157,2024-01-07,12,Delhi,Mini,23.23,776.95,Cash,3163,3.6,4.3,Completed,
100158,2024-01-07,6,Chennai,Bike,26.44,757.45,Card,4994,4.8,3.9,Completed,
100159,2024-01-07,18,Mumbai,Sedan,22.39,615.26,UPI,4111,2.7,4.3,Completed,
100160,2024-01-07,21,Bengaluru,Mini,3.9,534.88,UPI,2675,2.8,2.9,Completed,
100161,2024-01-07,1,Pune,Sedan,14.48,760.45,UPI,2995,4.2,3.2,Cancelled,Customer Change of Mind
100162,2024-01-07,9,Pune,Mini,7.15,156.84,Cash,1858,2.8,4.5,Completed,
100163,2024-01-07,12,Chennai,Bike,10.2,297.75,Card,3330,2.8,2.5,Completed,
100164,2024-01-07,20,Delhi,Mini,14.59,465.0,Card,2724,4.7,3.3,Completed,
100165,2024-01-07,5,Pune,Sedan,7.42,660.45,UPI,4954,3.0,4.9,Completed,
100166,2024-01-07,11,Delhi,Sedan,15.96,517.84,UPI,2645,4.1,4.0,Completed,
100167,2024-01-07,11,Delhi,Bike,19.66,656.65,UPI,1848,3.5,4.3,Cancelled,Customer Change of Mind
100168,2024-01-08,19,Chennai,Auto,26.37,164.81,Wallet,1499,2.8,3.5,Cancelled,High Fare
100169,2024-01-08,10,Hyderabad,Sedan,7.13,194.55,Wallet,2688,3.5,2.8,Completed,
100170,2024-01-08,22,Hyderabad,Auto,10.01,605.42,Card,4677,3.5,4.2,Cancelled,Driver Delay
100171,2024-01-08,6,Hyderabad,Sedan,12.77,311.24,UPI,4721,4.1,3.6,Completed,
100172,2024-01-08,0,Mumbai,Bike,7.51,377.07,Card,1359,2.9,2.9,Completed,
100173,2024-01-08,0,Chennai,Mini,10.63,643.75,Cash,2038,2.6,4.7,Completed,
100174,2024-01-08,19,Delhi,Auto,26.62,102.53,Wallet,2913,4.0,3.1,Completed,
100175,2024-01-08,12,Pune,Mini,5.02,175.98,UPI,1146,2.7,3.4,Completed,
100176,2024-01-08,8,Mumbai,Bike,13.87,271.86,Cash,1067,2.9,3.0,Completed,
100177,2024-01-08,2,Hyderabad,Bike,10.02,712.62,Card,1142,5.0,3.5,Completed,
100178,2024-01-08,6,Bengaluru,Bike,3.24,353.66,Cash,4066,2.6,4.0,Completed,
100179,2024-01-08,5,Mumbai,Sedan,3.79,239.08,Wallet,4300,4.1,3.0,Completed,
100180,2024-01-08,7,Mumbai,Sedan,23.76,558.82,Cash,2806,2.8,3.4,Completed,
100181,2024-01-08,8,Chennai,Sedan,25.72,72.72,UPI,4574,4.6,2.5,Cancelled,Customer Change of Mind
100182,2024-01-08,4,Pune,Sedan,22.5,631.33,UPI,1608,4.0,2.9,Completed,
100183,2024-01-08,0,Mumbai,Auto,16.64,573.42,Wallet,3482,3.7,4.8,Completed,
100184,2024-01-08,18,Pune,Bike,23.41,91.31,Card,3060,3.7,4.1,Completed,
100185,2024-01-08,9,Chennai,Auto,5.41,423.52,Card,1720,4.2,3.8,Completed,
100186,2024-01-08,11,Bengaluru,Sedan,23.63,353.11,Card,3002,4.6,3.8,Cancelled,High Fare
100187,2024-01-08,23,Delhi,Mini,13.28,168.6,Card,1058,2.5,4.1,Completed,
100188,2024-01-08,14,Delhi,Auto,22.76,165.53,Cash,3042,2.6,3.0,Completed,
100189,2024-01-08,21,Hyderabad,Mini,7.6,170.15,Card,2804,3.2,2.6,Cancelled,Customer Change of Mind
100190,2024-01-08,23,Hyderabad,Sedan,25.14,499.75,Wallet,4525,4.3,3.5,Completed,
100191,2024-01-08,8,Bengaluru,Auto,17.48,178.33,Cash,2592,3.0,4.8,Cancelled,Driver Unavailable
100192,2024-01-09,19,Delhi,Auto,1.21,94.7,Card,1693,3.5,3.8,Completed,
100193,2024-01-09,16,Hyderabad,Auto,16.06,768.18,UPI,2831,3.8,4.7,Completed,
100194,2024-01-09,16,Pune,Mini,10.0,79.38,Card,4421,3.4,2.8,Completed,
100195,2024-01-09,19,Mumbai,Sedan,2.67,547.92,Cash,4171,3.7,3.2,Cancelled,Customer Change of Mind
100196,2024-01-09,11,Chennai,Bike,13.97,752.02,Cash,4358,4.5,4.1,Completed,
100197,2024-01-09,6,Hyderabad,Bike,10.03,78.45,Cash,3996,3.1,2.6,Completed,
100198,2024-01-09,1,Bengaluru,Sedan,6.93,774.3,Wallet,1268,3.3,2.9,Completed,
100199,2024-01-09,2,Delhi,Auto,11.12,426.75,Cash,3839,3.8,2.8,Completed,
100200,2024-01-09,16,Bengaluru,Bike,6.21,638.81,Wallet,1348,4.7,3.8,Cancelled,High Fare
100201,2024-01-09,4,Chennai,Auto,9.69,518.84,Wallet,1496,3.0,4.7,Completed,
100202,2024-01-09,16,Chennai,Sedan,4.34,512.64,Wallet,2079,3.8,2.5,Completed,
100203,2024-01-09,23,Bengaluru,Mini,3.45,641.57,Cash,1301,4.7,2.6,Completed,
100204,2024-01-09,16,Hyderabad,Auto,27.39,99.08,Wallet,4966,2.8,4.2,Completed,
100205,2024-01-09,16,Hyderabad,Mini,27.18,344.29,Cash,1769,4.3,3.4,Cancelled,Driver Delay
100206,2024-01-09,1,Delhi,Mini,25.01,777.18,Cash,3869,3.1,4.7,Cancelled,Customer Change of Mind
100207,2024-01-09,1,Pune,Sedan,7.68,90.94,Card,1591,2.9,3.8,Completed,
100208,2024-01-09,21,Delhi,Sedan,22.05,247.1,Card,3547,3.1,2.6,Completed,
100209,2024-01-09,22,Mumbai,Mini,18.1,554.08,Wallet,4531,3.8,2.5,Completed,
100210,2024-01-09,4,Pune,Mini,2.49,125.33,Card,3843,4.0,3.6,Completed,
100211,2024-01-09,0,Mumbai,Bike,27.09,452.51,UPI,1857,3.0,3.5,Completed,
100212,2024-01-09,0,Delhi,Bike,29.94,585.03,Cash,3911,2.8,3.7,Completed,
100213,2024-01-09,18,Pune,Sedan,21.55,618.07,Card,1188,3.6,3.6,Completed,
100214,2024-01-09,1,Pune,Auto,7.71,470.89,UPI,2385,2.6,4.0,Completed,
100215,2024-01-09,20,Mumbai,Mini,17.08,425.47,UPI,2219,3.8,4.8,Completed,
100216,2024-01-10,11,Bengaluru,Auto,4.17,585.42,Wallet,2668,4.2,4.4,Cancelled,Driver Unavailable
100217,2024-01-10,5,Hyderabad,Mini,9.66,158.79,Cash,2552,4.9,3.8,Cancelled,High Fare
100218,2024-01-10,22,Pune,Sedan,21.8,560.39,UPI,1147,2.9,3.8,Completed,
100219,2024-01-10,3,Pune,Auto,9.73,739.43,Card,2703,3.6,5.0,Completed,
100220,2024-01-10,22,Mumbai,Sedan,5.27,562.06,Cash,1092,3.1,4.9,Completed,
100221,2024-01-10,10,Pune,Mini,1.22,84.88,Card,4544,3.0,2.9,Cancelled,Driver Unavailable
100222,2024-01-10,23,Mumbai,Sedan,17.6,429.49,Card,1593,3.8,4.1,Completed,
100223,2024-01-10,16,Bengaluru,Auto,29.09,594.71,UPI,2429,2.9,3.3,Completed,
100224,2024-01-10,5,Pune,Bike,15.04,82.43,Wallet,2844,2.5,3.0,Cancelled,Driver Unavailable
100225,2024-01-10,23,Chennai,Sedan,7.17,621.65,Cash,1839,2.9,4.9,Completed,
100226,2024-01-10,4,Delhi,Auto,14.44,261.2,Wallet,4751,3.3,2.7,Completed,
100227,2024-01-10,19,Bengaluru,Sedan,18.46,491.58,UPI,1942,2.5,2.6,Completed,
100228,2024-01-10,1,Chennai,Sedan,24.24,774.76,Wallet,4068,4.6,3.7,Completed,
100229,2024-01-10,5,Bengaluru,Bike,14.13,796.2,UPI,3023,4.0,3.8,Cancelled,High Fare
100230,2024-01-10,21,Hyderabad,Auto,6.02,525.81,Card,1457,2.6,2.8,Completed,
100231,2024-01-10,10,Bengaluru,Auto,6.45,418.61,Card,1208,3.1,4.9,Completed,
100232,2024-01-10,15,Bengaluru,Auto,27.09,183.27,UPI,1557,4.2,2.7,Completed,
100233,2024-01-10,15,Hyderabad,Mini,7.85,206.25,Card,4439,2.6,4.3,Completed,
100234,2024-01-10,0,Pune,Sedan,22.11,371.9,UPI,2465,3.4,3.4,Completed,
100235,2024-01-10,8,Delhi,Bike,8.8,576.71,Cash,4283,2.7,3.2,Completed,
100236,2024-01-10,5,Chennai,Auto,21.9,626.98,Card,3842,3.5,3.0,Completed,
100237,2024-01-10,15,Mumbai,Bike,3.27,216.43,Card,4585,4.9,2.9,Completed,
100238,2024-01-10,2,Delhi,Mini,7.01,451.56,UPI,2587,3.6,3.8,Completed,
100239,2024-01-10,19,Bengaluru,Mini,12.85,493.7,UPI,2308,4.0,2.6,Cancelled,Driver Unavailable
100240,2024-01-11,3,Mumbai,Bike,15.94,719.81,Card,2029,3.5,4.4,Completed,
100241,2024-01-11,18,Hyderabad,Auto,11.24,707.32,Cash,2171,3.3,3.1,Completed,
100242,2024-01-11,2,Delhi,Bike,17.63,663.04,Card,1996,4.0,3.6,Completed,
100243,2024-01-11,18,Pune,Auto,10.44,437.5,UPI,3514,4.1,2.7,Cancelled,Driver Delay
100244,2024-01-11,19,Chennai,Auto,20.67,98.81,Cash,2866,4.0,3.7,Cancelled,Customer Change of Mind
100245,2024-01-11,6,Delhi,Mini,15.83,300.86,Cash,1623,2.6,4.1,Completed,
100246,2024-01-11,19,Delhi,Bike,21.45,516.29,Cash,4729,4.2,2.6,Cancelled,Driver Unavailable
100247,2024-01-11,8,Pune,Mini,13.5,528.21,Wallet,3662,4.2,4.7,Completed,
100248,2024-01-11,0,Mumbai,Sedan,26.42,686.8,Wallet,4093,2.7,3.2,Completed,
100249,2024-01-11,7,Hyderabad,Mini,12.08,334.55,UPI,1434,3.0,3.4,Completed,
100250,2024-01-11,6,Pune,Auto,9.94,752.47,Card,4085,3.8,2.9,Completed,
100251,2024-01-11,17,Hyderabad,Bike,17.16,172.43,Card,4049,3.4,4.7,Completed,
100252,2024-01-11,7,Pune,Sedan,15.77,87.4,Wallet,1376,3.9,3.4,Completed,
100253,2024-01-11,0,Delhi,Sedan,16.02,182.52,Cash,1517,4.4,3.2,Completed,
100254,2024-01-11,10,Hyderabad,Sedan,24.09,396.74,Wallet,4348,3.9,4.3,Completed,
100255,2024-01-11,17,Mumbai,Sedan,18.07,667.18,Card,1831,3.6,3.3,Completed,
100256,2024-01-11,22,Mumbai,Bike,26.67,165.38,UPI,4847,3.2,3.7,Cancelled,App Issue
100257,2024-01-11,9,Chennai,Auto,18.95,461.14,Card,3833,4.0,5.0,Cancelled,High Fare
100258,2024-01-11,2,Hyderabad,Sedan,1.63,632.44,Wallet,1405,4.6,3.7,Completed,
100259,2024-01-11,6,Chennai,Auto,26.24,76.15,UPI,4781,3.2,3.7,Completed,
100260,2024-01-11,15,Pune,Mini,25.35,81.14,Cash,3678,4.5,4.5,Completed,
100261,2024-01-11,15,Bengaluru,Auto,2.42,417.94,Cash,3914,3.5,2.6,Completed,
100262,2024-01-11,19,Mumbai,Sedan,4.63,186.98,UPI,4253,2.8,3.4,Completed,
100263,2024-01-11,16,Delhi,Mini,17.13,387.93,Cash,2698,4.8,4.3,Completed,
100264,2024-01-12,1,Mumbai,Mini,2.24,82.95,Card,3413,4.2,4.8,Completed,
100265,2024-01-12,0,Bengaluru,Mini,12.92,782.65,Card,1300,4.6,4.1,Completed,
100266,2024-01-12,15,Delhi,Sedan,29.29,540.64,Card,1503,4.1,3.8,Cancelled,App Issue
100267,2024-01-12,11,Hyderabad,Auto,6.01,565.02,UPI,1692,2.8,3.7,Completed,
